zipcode,centroid_longitude,centroid_latitude,municipality_ags,municipality_ars,municipality_name,municipality_designation,municipality_display_name,district_ars,district_name,district_designation,district_display_name,federal_state_code,federal_state_name,assignment_method,distance_to_municipality_m
33739,8.5283,52.0848649,05711000,057110000000,Bielefeld,Stadt,"Bielefeld, Stadt",000000005711,Bielefeld,Kreisfreie Stadt,"Bielefeld, Kreisfreie Stadt",05,Nordrhein-Westfalen,polygon_intersects,0.0
33758,8.661740199999999,51.88311539999999,05754036,057540036036,Schloß Holte-Stukenbrock,Stadt,"Schloß Holte-Stukenbrock, Stadt",000000005754,Gütersloh,Kreis,"Gütersloh, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
33775,8.1804854,52.0455929,05754048,057540048048,Versmold,Stadt,"Versmold, Stadt",000000005754,Gütersloh,Kreis,"Gütersloh, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
33790,8.3172114,52.03598,05754012,057540012012,Halle (Westf.),Stadt,"Halle (Westf.), Stadt",000000005754,Gütersloh,Kreis,"Gütersloh, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
33803,8.3866415,51.9883767,05754040,057540040040,Steinhagen,Gemeinde,"Steinhagen, Gemeinde",000000005754,Gütersloh,Kreis,"Gütersloh, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
33813,8.6813664,51.9455927,05766056,057660056056,Oerlinghausen,Stadt,"Oerlinghausen, Stadt",000000005766,Lippe,Kreis,"Lippe, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
33818,8.7010651,52.0081232,05766048,057660048048,Leopoldshöhe,Gemeinde,"Leopoldshöhe, Gemeinde",000000005766,Lippe,Kreis,"Lippe, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
33824,8.418446,52.0927985,05754052,057540052052,Werther (Westf.),Stadt,"Werther (Westf.), Stadt",000000005754,Gütersloh,Kreis,"Gütersloh, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
33829,8.2813014,52.1025558,05754004,057540004004,Borgholzhausen,Stadt,"Borgholzhausen, Stadt",000000005754,Gütersloh,Kreis,"Gütersloh, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
34414,9.1309863,51.4756133,05762036,057620036036,Warburg,Stadt,"Warburg, Stadt",000000005762,Höxter,Kreis,"Höxter, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
34431,8.8465078,51.4551847,05958024,059580024024,Marsberg,Stadt,"Marsberg, Stadt",000000005958,Hochsauerlandkreis,Kreis,Hochsauerlandkreis,05,Nordrhein-Westfalen,polygon_intersects,0.0
34434,9.2811888,51.5910115,05762012,057620012012,Borgentreich,Stadt,"Borgentreich, Stadt",000000005762,Höxter,Kreis,"Höxter, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
34439,9.1174663,51.6039191,05762040,057620040040,Willebadessen,Stadt,"Willebadessen, Stadt",000000005762,Höxter,Kreis,"Höxter, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
37671,9.3510271,51.7980896,05762020,057620020020,Höxter,Stadt,"Höxter, Stadt",000000005762,Höxter,Kreis,"Höxter, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
37688,9.3466097,51.66014,05762008,057620008008,Beverungen,Stadt,"Beverungen, Stadt",000000005762,Höxter,Kreis,"Höxter, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
37696,9.2307887,51.8182984,05762024,057620024024,Marienmünster,Stadt,"Marienmünster, Stadt",000000005762,Höxter,Kreis,"Höxter, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
40210,6.787720299999999,51.2225286,05111000,051110000000,Düsseldorf,Stadt,"Düsseldorf, Stadt",000000005111,Düsseldorf,Kreisfreie Stadt,"Düsseldorf, Kreisfreie Stadt",05,Nordrhein-Westfalen,polygon_intersects,0.0
40211,6.792883499999999,51.2301142,05111000,051110000000,Düsseldorf,Stadt,"Düsseldorf, Stadt",000000005111,Düsseldorf,Kreisfreie Stadt,"Düsseldorf, Kreisfreie Stadt",05,Nordrhein-Westfalen,polygon_intersects,0.0
40212,6.780529,51.22360339999999,05111000,051110000000,Düsseldorf,Stadt,"Düsseldorf, Stadt",000000005111,Düsseldorf,Kreisfreie Stadt,"Düsseldorf, Kreisfreie Stadt",05,Nordrhein-Westfalen,polygon_intersects,0.0
40213,6.7727077,51.2220859,05111000,051110000000,Düsseldorf,Stadt,"Düsseldorf, Stadt",000000005111,Düsseldorf,Kreisfreie Stadt,"Düsseldorf, Kreisfreie Stadt",05,Nordrhein-Westfalen,polygon_intersects,0.0
40215,6.7825598,51.2149435,05111000,051110000000,Düsseldorf,Stadt,"Düsseldorf, Stadt",000000005111,Düsseldorf,Kreisfreie Stadt,"Düsseldorf, Kreisfreie Stadt",05,Nordrhein-Westfalen,polygon_intersects,0.0
40217,6.7753988,51.21273110000001,05111000,051110000000,Düsseldorf,Stadt,"Düsseldorf, Stadt",000000005111,Düsseldorf,Kreisfreie Stadt,"Düsseldorf, Kreisfreie Stadt",05,Nordrhein-Westfalen,polygon_intersects,0.0
40219,6.762340699999999,51.2134879,05111000,051110000000,Düsseldorf,Stadt,"Düsseldorf, Stadt",000000005111,Düsseldorf,Kreisfreie Stadt,"Düsseldorf, Kreisfreie Stadt",05,Nordrhein-Westfalen,polygon_intersects,0.0
40221,6.7507247,51.1997076,05111000,051110000000,Düsseldorf,Stadt,"Düsseldorf, Stadt",000000005111,Düsseldorf,Kreisfreie Stadt,"Düsseldorf, Kreisfreie Stadt",05,Nordrhein-Westfalen,polygon_intersects,0.0
40223,6.772247399999999,51.1997752,05111000,051110000000,Düsseldorf,Stadt,"Düsseldorf, Stadt",000000005111,Düsseldorf,Kreisfreie Stadt,"Düsseldorf, Kreisfreie Stadt",05,Nordrhein-Westfalen,polygon_intersects,0.0
40225,6.7898817,51.19743750000001,05111000,051110000000,Düsseldorf,Stadt,"Düsseldorf, Stadt",000000005111,Düsseldorf,Kreisfreie Stadt,"Düsseldorf, Kreisfreie Stadt",05,Nordrhein-Westfalen,polygon_intersects,0.0
40227,6.7975715,51.2153849,05111000,051110000000,Düsseldorf,Stadt,"Düsseldorf, Stadt",000000005111,Düsseldorf,Kreisfreie Stadt,"Düsseldorf, Kreisfreie Stadt",05,Nordrhein-Westfalen,polygon_intersects,0.0
40229,6.8460233,51.19678709999999,05111000,051110000000,Düsseldorf,Stadt,"Düsseldorf, Stadt",000000005111,Düsseldorf,Kreisfreie Stadt,"Düsseldorf, Kreisfreie Stadt",05,Nordrhein-Westfalen,polygon_intersects,0.0
40231,6.830239,51.2134789,05111000,051110000000,Düsseldorf,Stadt,"Düsseldorf, Stadt",000000005111,Düsseldorf,Kreisfreie Stadt,"Düsseldorf, Kreisfreie Stadt",05,Nordrhein-Westfalen,polygon_intersects,0.0
40233,6.8119048,51.2198064,05111000,051110000000,Düsseldorf,Stadt,"Düsseldorf, Stadt",000000005111,Düsseldorf,Kreisfreie Stadt,"Düsseldorf, Kreisfreie Stadt",05,Nordrhein-Westfalen,polygon_intersects,0.0
40235,6.8275162,51.22940939999999,05111000,051110000000,Düsseldorf,Stadt,"Düsseldorf, Stadt",000000005111,Düsseldorf,Kreisfreie Stadt,"Düsseldorf, Kreisfreie Stadt",05,Nordrhein-Westfalen,polygon_intersects,0.0
40237,6.8091727,51.23573810000001,05111000,051110000000,Düsseldorf,Stadt,"Düsseldorf, Stadt",000000005111,Düsseldorf,Kreisfreie Stadt,"Düsseldorf, Kreisfreie Stadt",05,Nordrhein-Westfalen,polygon_intersects,0.0
